Ref,Val,Package,PosX,PosY,Rot,Side
"J1","CLK SEL","PinHeader_1x03_P2.54mm_Vertical",98.750000,-27.500000,90.000000,top
"J3","TONEARM GND","TerminalBlock_bornier-2_P5.08mm",4.700000,-31.000000,-90.000000,top
"J4","GND LIFT","PinHeader_1x02_P2.54mm_Vertical",18.500000,-39.750000,90.000000,top
"J5","TP DIG","PinHeader_2x05_P2.54mm_Vertical",110.800000,-22.000000,0.000000,top
"J6","WP","PinHeader_1x02_P2.54mm_Vertical",75.250000,-6.500000,180.000000,top
"J20","LINE IN L","TerminalBlock_bornier-2_P5.08mm",4.700000,-10.000000,-90.000000,top
"J22","TP L","PinHeader_2x05_P2.54mm_Vertical",57.400000,-19.000000,0.000000,top
"J60","LINE IN R","TerminalBlock_bornier-2_P5.08mm",4.700000,-52.000000,-90.000000,top
"J62","TP R","PinHeader_2x05_P2.54mm_Vertical",57.400000,-61.000000,0.000000,top
"L1","10u","L_Bourns_SRR1260",75.750000,-43.000000,180.000000,top
"L2","10u","L_Bourns_SRR1260",76.000000,-60.000000,-90.000000,top
"Q1","BC847","SOT-23",59.250000,-79.250000,-90.000000,top
"Q2","BC857","SOT-23",13.000000,-78.500000,-90.000000,top
"Q3","BC857","SOT-23",25.000000,-80.250000,180.000000,top
"R1","4R75","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.750000,-40.000000,180.000000,top
"R2","10k0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.000000,-72.250000,0.000000,top
"R3","10k0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.000000,-73.000000,-90.000000,top
"R4","10k0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.500000,-68.500000,-90.000000,top
"R5","10k0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.750000,-70.500000,-90.000000,top
"R10","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.000000,-9.500000,-90.000000,top
"R11","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.500000,-12.000000,180.000000,top
"R12","475R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.750000,-20.750000,180.000000,top
"R13","475R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.500000,-6.500000,90.000000,top
"R14","33R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.500000,-21.750000,-90.000000,top
"R15","3k92","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.250000,-18.750000,90.000000,top
"R16","1k00","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",18.500000,-80.500000,-90.000000,top
"R17","10R0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.250000,-40.250000,180.000000,top
"R20","1k00","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",23.500000,-26.000000,180.000000,top
"R21","20k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.250000,-25.750000,0.000000,top
"R22","14k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.000000,-27.500000,180.000000,top
